topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
10.0,9,1.0,1548.2124784976072
10.0,9,5.0,2215.137922746807
10.0,9,10.0,2772.5053207192323
10.0,11,,1901.9847764042684
10.0,11,0.05,2108.781684852282
10.0,11,0.1,1874.937366534965
10.0,11,0.5,1626.0767506408752
10.0,11,1.0,1671.2480059685543
10.0,11,5.0,2408.6958482280643
10.0,11,10.0,2994.888310114808
10.0,13,,2190.227166178426
10.0,13,0.05,2388.849251460698
10.0,13,0.1,2091.0166078621314
10.0,13,0.5,1752.9016955077568
10.0,13,1.0,1787.0574033497483
10.0,13,5.0,2581.058967173254
10.0,13,10.0,3175.1240904669376
10.0,15,,2486.3765243914227
10.0,15,0.05,2653.2695640250085
10.0,15,0.1,2293.5578398966413
10.0,15,0.5,1866.7912201687025
10.0,15,1.0,1891.771498264567
10.0,15,5.0,2736.892061613249
10.0,15,10.0,3323.478262441564
10.0,17,,2796.6243789865925
10.0,17,0.05,2911.427147028171
10.0,17,0.1,2490.3212076544164
10.0,17,0.5,1974.0903565710646
10.0,17,1.0,1991.5003513184079
10.0,17,5.0,2877.944186315629
10.0,17,10.0,3447.9580529927835
10.0,20,,3282.326101064449
10.0,20,0.05,3282.326101064449
10.0,20,0.1,2773.124018764016
10.0,20,0.5,2126.9924852190484
10.0,20,1.0,2134.1334179818045
10.0,20,5.0,3065.107632571843
10.0,20,10.0,3598.99813009047
10.0,25,,4142.115400795597
10.0,25,0.05,3862.3327295776703
10.0,25,0.1,3217.0353014808197
10.0,25,0.5,2368.1872374424847
10.0,25,1.0,2360.3273901852485
10.0,25,5.0,3323.143727628673
10.0,25,10.0,3781.8905358387356
10.0,30,,5088.487302522418
10.0,30,0.05,4424.4693539293075
10.0,30,0.1,3649.2262187709653
10.0,30,0.5,2602.185186649879
10.0,30,1.0,2575.2116974277137
10.0,30,5.0,3528.213301141249
10.0,30,10.0,3906.413022054881
10.0,35,,6124.577409743809
10.0,35,0.05,4976.248892286067
10.0,35,0.1,4078.82917440041
10.0,35,0.5,2831.6849851882916
10.0,35,1.0,2779.869568512796
10.0,35,5.0,3692.808620454486
10.0,35,10.0,3992.5691972670816
10.0,40,,7255.897442430619
10.0,40,0.05,5522.62184581361
10.0,40,0.1,4508.788711576191
10.0,40,0.5,3057.465592269489
10.0,40,1.0,2975.0364782965034
10.0,40,5.0,3826.085844726432
10.0,40,10.0,4052.6774014217904
10.0,45,,8491.95442663133
10.0,45,0.05,6070.209687867743
10.0,45,0.1,4942.169822597885
10.0,45,0.5,3279.8577724784723
10.0,45,1.0,3161.281898524033
10.0,45,5.0,3934.831483359285
10.0,45,10.0,4094.613119697841
10.0,50,,9833.132264480782
10.0,50,0.05,6619.1912167922155
10.0,50,0.1,5381.147094798388
10.0,50,0.5,3499.0627917197658
10.0,50,1.0,3339.0956663089737
10.0,50,5.0,4024.1192701338796
10.0,50,10.0,4123.5842573367345
